Designator,Mid X,Mid Y,Rotation,Layer
C1,133.8095,-64.43,20.0,top
C2,140.1075,-63.5,0.0,top
C3,155.575,-66.675,340.0,top
J1,139.188,-69.4519,20.0,top
U1,129.6538,-65.2429,110.0,top
U2,144.78,-62.611,90.0,top
U3,160.02,-65.405,70.0,top
